Index,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Min Temp,Wind Speed
77,Cap Malheureux,20,MU,1562879135,88,-19.98,57.61,66.2,66,5.82
78,Barrow,100,AR,1562879137,71,-38.31,-60.23,53.31,53.31,2.37
79,Dubbo,75,AU,1562879138,93,-32.25,148.6,37.4,37.4,1.12
80,Kortkeros,0,RU,1562879139,100,61.81,51.56,48.99,48.2,4.47
81,Shirokiy,0,RU,1562879140,85,53.87,39.17,54,54,3.6
82,Atchison,20,US,1562879142,48,39.56,-95.12,86,81,11.41
83,Saskylakh,100,RU,1562879143,91,71.97,114.09,53.31,53.31,6.87
84,Sola,32,TZ,1562879144,47,-3.17,33.8,69.33,69.33,8.41
85,Dawlatabad,0,AF,1562879146,16,36.41,64.91,84.27,84.27,8.9
86,Derzhavinsk,67,KZ,1562879147,46,51.1,66.31,73.47,73.47,8.25
87,Mumford,100,GH,1562879148,93,5.26,-0.76,72.39,72.39,5.59
88,Leningradskiy,6,RU,1562879149,68,69.38,178.42,50.25,50.25,7.67
89,Mocuba,56,MZ,1562879151,94,-16.84,36.99,57.27,57.27,1.03
90,Chokurdakh,100,RU,1562879152,88,70.62,147.9,56.37,56.37,8.99
91,Puerto Colombia,40,CO,1562879154,66,10.99,-74.96,87.8,87.8,11.41
92,San Patricio,10,PY,1562879155,79,-26.98,-56.83,70.95,70.95,5.55
93,Praia da Vitoria,20,PT,1562879156,83,38.73,-27.07,73.4,72,4.07
94,Ladysmith,0,ZA,1562879158,17,-28.55,29.78,54.21,54.21,5.03
95,Salsk,96,RU,1562879159,96,46.48,41.54,61.05,61.05,2.71
96,Banyliv,0,UA,1562879160,77,48.36,25.34,59,59,2.24
97,Acajutla,16,SV,1562879161,71,13.59,-89.83,83.55,83.55,4.61
98,Chabahar,87,IR,1562879163,79,25.29,60.65,86,86,6.04
99,Lebu,42,ET,1562879164,85,8.96,38.73,56.73,56.73,0.74
100,Palmer,75,AU,1562878974,76,-34.85,139.16,57.2,50,18.34
101,Okhotsk,22,RU,1562879166,67,59.36,143.24,61.05,61.05,1.86
102,Entebbe,59,UG,1562879168,72,0.06,32.45,65.19,65.19,5.01
103,Khatanga,1,RU,1562879169,60,71.98,102.47,50.25,50.25,8.3
104,Iberia,71,PE,1562879170,40,-11.41,-69.49,88.05,88.05,3.29
105,Hirara,0,JP,1562879172,83,24.8,125.28,83.91,83.91,17.74
106,Souillac,0,FR,1562879173,43,45.6,-0.6,75.99,70,6.93
107,Morgan City,100,US,1562879174,63,29.7,-91.21,95,88,11.86
108,Pevek,34,RU,1562879176,73,69.7,170.27,46.65,46.65,7.96
109,Sangar,80,RU,1562879177,63,63.92,127.47,68.25,68.25,1.25
110,Esperance,90,AU,1562879178,100,-33.86,121.89,51.8,51.8,9.17
111,Cherskiy,99,RU,1562879180,45,68.75,161.3,73.65,73.65,4.07
112,Mehamn,0,NO,1562879181,66,71.03,27.85,50,46.4,5.82
113,Tual,15,ID,1562879182,79,-5.67,132.75,77.25,77.25,21.03
114,Saint George,20,GR,1562879184,77,39.45,22.34,68,66.2,3.53
115,Butaritari,40,KI,1562879185,73,3.07,172.79,84.63,84.63,11.92
116,Sucre,2,BO,1562879186,11,-19.05,-65.26,71.6,71.6,16.11
117,Nikolskoye,20,RU,1562879187,75,59.7,30.79,46.4,45,2.91
118,Qaqortoq,0,GL,1562879189,58,60.72,-46.03,55.4,55.4,8.05
119,Russell,1,US,1562879190,39,38.9,-98.86,89.01,84.2,5.86
120,Tateyama,68,JP,1562879191,92,36.66,137.31,73,71.01,1.99
121,Laguna,40,BZ,1562879193,70,16.17,-88.94,89.6,89.6,9.17
122,Arraial do Cabo,0,BR,1562879194,73,-22.97,-42.02,71.6,71.6,6.93
123,Chuy,100,UY,1562879195,75,-33.69,-53.46,56.73,56.73,7.7
124,Ciudad Bolivar,0,VE,1562879197,49,8.12,-63.55,90.21,90.21,5.08
125,Teterow,75,DE,1562879198,67,53.77,12.58,66,62.6,4.7
126,Clyde River,75,CA,1562878989,71,70.47,-68.59,51.8,51.8,21.92
127,Umm Lajj,2,SA,1562879200,67,25.02,37.27,86.07,86.07,4.36
128,Manaia,24,BR,1562879202,68,-5.02,-39.08,76.71,76.71,4.92
129,Kaeo,100,NZ,1562879203,96,-35.1,173.78,57,57,8.99
130,Avarua,3,CK,1562878937,75,-21.21,-159.78,73.47,73.47,4.12
131,Severodvinsk,90,RU,1562879205,100,64.56,39.82,39.2,39.2,2.24
132,Bitung,40,ID,1562879207,94,1.44,125.19,73.4,73.4,2.24
